收录日期,每日排名,评分,标题,链接,来源名称,原文内容,AI分类,AI理由,人工审核,发布顺序
2025-12-17,11,43.0,新《公司法》法人人格否认制度的适用规则与实务要点,https://mp.weixin.qq.com/s/wt9ORiEQGHaizSyTuk-XNQ,熊猫法律星球,"新《公司法》第二十三条构建了法人人格否认制度的完整框架，包含纵向否认、横向否认和一人公司特殊规则三种类型。

纵向否认指母公司为子公司担责，横向否认要求关联公司连带担责，一人公司则实行举证责任倒置。**“认定公司人格与股东人格是否存在混同，最根本的判断标准是公司是否具有独立意思和独立财产”**这一核心原则贯穿始终。上海一中院审理的借贷纠纷案具有典型意义。

四家关联公司共用办公地址、资金往来混乱，实际控制人钱某构成过度支配与控制，最终被判定承担连带责任。该案同时涉及纵向与横向人格否认，法院通过审查财务独立性、经营自主性等要素作出裁判。**“公司的财产与股东的财产是否混同且无法区分”**成为判断关键。实务中需重点把握五大认定标准：主体上仅股东可被追责；行为上关注财产混同、过度支配等情形；主观需存在逃避债务的故意；结果要达到严重损害债权人利益的程度。

对于一人公司，股东需自证财产独立，可提交审计报告等证据。横向否认制度虽是新规，但仍需谨慎适用，避免扩大化。企业应通过规范财务制度、区分账户资金、留存交易凭证等方式预防风险。

关联交易需确保程序合规、价格公允，避免被认定为利益输送。法人人格否认作为例外制度，其适用始终围绕公司独立人格这一核心展开，司法实践将继续在保护债权人与维护公司制度之间寻求平衡。",一般,内容聚焦法律制度解读，法律科技相关性较弱，未涉及技术应用或创新。,垃圾,
2025-12-17,12,49.0,企业用工场景中员工个人信息处理的合规边界,https://mp.weixin.qq.com/s/SQ0l_N2mRfRQr4iHql6KKg,金杜研究院,"企业用工管理涉及员工个人信息的全流程处理，从招聘到离职后的数据存储均需遵守严格合规要求。当前司法实践显示，企业在业务活动中使用员工信息、考勤管理、履职监控等场景下容易触碰法律边界。**“合法、正当、必要”**是个人信息保护的核心原则，而“告知—同意”则是基本合法性基础。上海某公司案显示，在职期间使用员工信息可能被默认为获得同意，但离职后继续使用则构成侵权。

北京某公司因要求抑郁症员工提供过多医疗资料被认定违法解除合同，法院明确**“员工患病细节属于个人隐私**，要求提供材料应以必要为限”。天津某公司在会议室私装摄像头被判侵犯隐私权，广州某公司因在微信群公开员工身份证号等敏感信息被认定侵权。

北京某公司远程删除离职员工手机数据一案最具争议。一审认为公司行为合规，二审则推翻该结论，指出公司未按规定操作且超出“人力资源管理必需”范围。这一案例特别说明，即便有内部制度，执行不当仍可能导致侵权。

法院普遍支持停止侵害、赔礼道歉等责任形式，但精神损害赔偿因举证困难较难获得支持。企业应建立全流程合规机制，包括制定操作规范、限定信息收集范围、完善告知同意程序等。

离职后及时终止不必要的信息处理同样重要，但需注意与其他法律存储要求的平衡。",推荐,紧扣法律科技中的合规科技领域，结合司法案例解析员工数据处理边界，具有较强实务参考价值。,垃圾,
2025-12-17,13,58.0,《监察法》修改强化企业和经营者权益保护,https://mp.weixin.qq.com/s/KjVmsH2jfNv_eWMpsk_ozw,金杜研究院,"修改后的《中华人民共和国监察法》和《中华人民共和国监察法实施条例》将 ""尊重和保障人权，在适用法律上一律平等"" 作为监察工作原则，重点保护企业和企业经营者的合法权益。**""监察对象以及相关人员""的外延大于""当事人""**，明确将利害关系人纳入保护范围，企业因涉案财物问题可成为法定利害关系人。

在知情权保障方面，新规要求监察机关在调查全流程中及时告知相关措施和决定。**""采取管护或者留置措施后，应当在二十四小时以内通知""**，除非存在妨碍调查的特殊情况。书面通知成为基本原则，仅在紧急情况下允许口头通知并需后续补正。

针对企业经营者被调查可能影响企业运营的情况，新规提供了更完善的救济渠道。当监察机关查封、扣押、冻结明显超出涉案范围的财物，或非法干扰企业正常经营时，企业和经营者可依法申诉。**""利用职权非法干扰企业生产经营或者侵害企业经营者人身权利、财产权利和其他合法权益的""**行为被明确列为申诉事由，这体现了中央完善产权保护制度的政策导向。

实践中，企业经营者可通过适当方式向监察机关陈述困难，争取不影响正常经营的处理方案。申诉机制的确立使企业和经营者在面对不当监察行为时有了明确的维权途径，有助于平衡反腐败工作与企业合法权益保护之间的关系。",一般,内容涉及监察法修改对企业和经营者权益的保护，但侧重法律政策解读，法律科技关联性较弱。,垃圾,
2025-12-17,14,49.0,通力律所因科创板 IPO 服务违规被证监会处罚,https://mp.weixin.qq.com/s/Is5ujPoyrSGoKRb32d_ygA,红鲤鱼的江湖,"中国证券监督管理委员会对通力律师事务所为上海思尔芯技术股份有限公司科创板 IPO 提供法律服务过程中的违规行为进行了查处。调查发现，通力所出具的法律意见书等文件存在虚假记载，且在服务过程中未履行勤勉尽责义务。**""未审慎确定重大销售合同范围""**和**""未审慎查验相关公司销售合同的真实性""**是主要违规事实。具体违规行为包括三个方面：未审慎确定重大销售合同范围、未审慎查验销售合同真实性，以及对销售客户的走访程序执行不到位。这些行为严重违反了证券服务机构的职业操守和法律规定。

证监会最终作出处罚决定：责令通力所改正，没收其思尔芯科创板 IPO 法律业务收入 **114 万元**，并处以同等金额罚款。同时，对涉案律师李仲英、郭珣、王旭峰分别给予警告并处以 **20 万元**罚款。

这一处罚案例体现了监管机构对资本市场中介服务机构执业质量的严格要求，也警示其他证券服务机构必须恪守职业准则，切实履行勤勉尽责义务。**""对销售客户的走访程序执行不到位""**的认定，特别强调了中介机构在核查工作中不能流于形式的重要性。",一般,内容涉及律所IPO服务违规，但侧重监管处罚而非法律科技应用或创新。,垃圾,
2025-12-17,15,41.0,北京市司法局通报两起法考主观题考试违纪事件,https://mp.weixin.qq.com/s/4blzaEOvB0z7pd0k3WqyPA,红鲤鱼的江湖,"北京市司法局近日通报了两起在国家统一法律职业资格考试主观题考试中发生的违纪事件。两起事件均发生在 2025 年 10 月 12 日上午的考试过程中，涉及两名不同考生。**张**在考试中将印有与考试内容相关文字的纸条带入考场并查看，监考人员当场终止其考试；**马**则携带了 6 张含有考试相关内容的纸张进入考场并查看。

根据通报，两名考生均受到相同处理：当年考试成绩被判定无效，且两年内不得再次报名参加该项考试。这一处理决定依据的是国家统一法律职业资格考试的相关规定，体现了考试纪律的严肃性和公平性。

法律职业资格考试作为法律从业者的重要准入门槛，其公正性和权威性至关重要。北京市司法局此次及时公开处理结果，既是对违纪者的惩戒，也是对广大考生的警示。**""将印有与考试内容相关文字的纸条违规带进考场""**的行为直接违反了考试规定，损害了考试的公平性。

这类事件的处理不仅维护了考试秩序，也彰显了司法行政部门对法律职业人员素质的严格要求。随着法律职业资格考试的不断规范化，类似的违纪通报将成为常态，有助于营造更加公平、公正的考试环境。",一般,内容涉及法考违纪通报，与法律科技关联性较弱，信息价值有限。,垃圾,
2025-12-17,17,51.0,优必选完成 31.1 亿港元 H 股配售 金杜全程参与六轮融资,https://mp.weixin.qq.com/s/2CvPfTOddkVuuIvEBif07A,金杜研究院,"优必选科技近日完成 H 股配售，共发行 3146.8 万股，募集资金约 **31.1 亿港元**。这是该公司自 2023 年 12 月在香港联交所上市以来的第六次公开股权融资活动，国泰君安证券、中信里昂证券等机构担任配售代理。**本次配售是优必选自上市后第六次于二级市场进行公开股权融资活动**。作为港股人形机器人第一股，优必选专注于智能服务机器人的研发与商业化，产品涵盖教育、物流等多个行业。其机器人具备感知、交互等智能功能，为企业级和消费级市场提供解决方案。

公司上市以来通过多次配售累计融资约 **76.5 亿港元**，这一数字是其 IPO 募资额的 7 倍。金杜律师事务所担任本次配售的中国境内法律顾问，由周蕊、田维娜、骆霄等律师牵头完成。**至此，金杜团队全程参与了优必选香港上市后的六次 H 股配售**。该团队在资本市场领域具有丰富经验，曾为多个知名企业的上市、并购项目提供法律服务。

此次配售进一步巩固了优必选在机器人领域的市场地位，为其持续研发和业务拓展提供了资金支持。金杜的全程参与也展现了其在资本市场法律服务的专业能力，特别是在高科技企业融资方面的丰富经验。",一般,文章聚焦企业融资及律所服务，法律科技相关性较弱，未涉及技术驱动的法律创新。,垃圾,
2025-12-17,19,30.0,"美国拟推百万美元""捐赠换绿卡""政策引争议",https://abovethelaw.com/2025/12/aderant-and-harvey-announce-partnership-to-bridge-the-gap-between-business-and-practice-of-law/,abovethelaw 科技板块,"美国政府近期提出一项新政策草案，允许外国富裕人士通过向政府捐赠 **100 万美元**的方式获得绿卡申请资格。这项提案迅速引发多方争议，法律界质疑其可能违反移民法平等原则，伦理学者则担忧这将加剧""金钱换特权""的社会不公现象。**""用 100 万美元购买美国居留权，本质上是对移民体系的扭曲""**，斯坦福大学移民政策研究员在听证会上指出。支持者认为该政策能刺激经济，反对者则强调其削弱了技术移民和家庭团聚的优先级。国土安全部数据显示，类似投资移民项目在过去十年中曾导致多起欺诈案件。 

专家小组将重点分析三个潜在风险点：政策漏洞可能引发的非法资金流动、对现有移民排队系统的冲击，以及各州分配捐赠款项的透明度问题。芝加哥大学法律教授提供的案例显示，2013 年 EB－5 投资移民项目中，约 **32％的资金**最终流向与承诺不符的项目。 

该提案尚处于公众评议阶段，但已引发两党议员罕见联合反对。参议院司法委员会主席表示，将在下周听证会上要求政府提供完整的风险评估报告。移民权益组织正筹备全国性抗议活动，认为该政策将彻底改变美国移民体系的价值观基础。",不推荐,文章聚焦移民政策伦理与社会公平，缺乏法律科技、AI或法律服务创新相关内容。,垃圾,
2025-12-18,0,30.5,2025 年法律与 AI 的荒诞现实,https://abovethelaw.com/2025/12/at-least-the-robots-in-the-coming-war-against-humans-will-understand-war-crimes/,abovethelaw 科技板块 AI Legal Beat,"2025 年的法律界呈现出科技与权力交织的荒诞场景。五角大楼斥巨资定制的 AI 系统上线后立即开始揭露特朗普政府时期的战争罪行，这一意外发展让国防部长陷入尴尬境地。**""有时候机器人的表现比人类律师更出色""**，这句话在当下显得尤为讽刺。

最高法院内部同样风波不断。大法官索尼娅·索托马约尔试图阻止同僚们基于上世纪 70 年代理论推翻联邦政府架构的努力，却被认为选错了斗争方向。法律体系的根基正在受到前所未有的挑战，而司法系统内部的意见分歧让局面更加复杂。

跨国法律行业也面临重大挫折。一家全球性大型律所宣布将在 2026 年春季解体，这标志着法律服务业全球化进程中的一次重大挫败。**""有时候合并就是行不通""**，这个简单的事实揭示了行业扩张背后的现实困境。当科技、政治与商业利益在司法领域激烈碰撞，2025 年的法律图景既荒诞又真实。",不推荐,内容虚构荒诞，缺乏真实法律科技信息，不符合专业周报收录标准。,垃圾,
2025-12-18,7,37.0,法律科技专家解答国际律所 SaaS 系统转型难题,https://legaltechnology.com/2025/12/17/orange-rag-legal-tech-clinic-what-saas-cms-system-would-you-recommend/,Legal IT Insider,"国际律所在制定 2026 年数据战略时，计划迁移至新的 SaaS 案例管理系统，但面临选型困境。Hyperscale 集团创始人兼英国法律 IT 创新者协会主席 Derek Southall 指出，此类决策需深度专业判断，**“绝非胆小者或生成式 AI 能轻易回答”**。 

当前法律科技市场处于动荡期，传统供应商被私募股权收购导致产品线重组。部分系统终止服务，另一些则经历从托管模式到真正 SaaS 的转型。Derek 强调，选型必须考虑供应商稳定性与产品路线图，避免因市场变动导致实施风险。**“许多律所和企业法务部门对此领域表现出强烈兴趣”**，但需警惕技术迭代带来的隐性成本。完整建议发布于《Orange Rag》**12 月刊**，包含具体系统评估框架与实施策略。该专栏长期接受用户提问，形成法律科技实践者与终端用户的直接对话渠道。",强烈推荐,聚焦国际律所SaaS转型痛点，内容专业且具实践指导价值，高度契合法律科技从业者需求。,垃圾,
2025-12-18,11,47.5,律师如何突破专业瓶颈，实现法商能力跃升,https://mp.weixin.qq.com/s/w-i-Gzq9z2gR5hx2AaREkw,智合,"凌晨两点审完的完美合同，第二天却遭遇客户“您说得都对，但我们真正的难处不在这里”的回应。

这种场景正成为越来越多律师的困惑：专业精深却难以进入客户决策核心。问题出在律师与客户之间那层“看不见的玻璃”——能看清法律条文，却看不清背后的商业困境。**“律师的增长点正在从专业能力转向法商能力”**，这种能力要求用商业思维理解法律问题，用法律工具实现商业目标。企业需要的已不仅是风险清单，而是能支撑商业决策的解决方案。这种转变源于行业结构性变化：英美法系主导全球商事规则，企业出海、跨境合规等需求爆发，客户需要律师成为商业战略中的协作者。

法商能力需要在商业与法律规则碰撞的“原生环境”中内化。美国作为全球法律服务市场的中心，2024 年市场规模超 3600 亿美元，占全球 45％，是培养这种能力的首选地。**“法商融合已从「加分项」演变为「生存项」”。**这次美国之行不是普通访学，而是通过名校思想课、律所深度访、圈层对话场和制度现场课四个维度，完成从“行业专家”到“商业伙伴”的进化。

当行业还在专业细节上内卷时，先行者已开始构建更高维度的核心竞争力。",推荐,紧扣法律科技与法商融合趋势，探讨律师能力跃迁，对法律从业者有较高启发价值。,垃圾,
